Time (UTC),ECI X (km),ECI Y (km),ECI Z (km),ECEF X (km),ECEF Y (km),ECEF Z (km),Latitude (deg),Longitude (deg),Altitude (m),B N,B E,B D,Bx ECEF (nT),By ECEF (nT),Bz ECEF (nT),Bx ECI (nT),By ECI (nT),Bz ECI (nT)
2025-01-28 12:33:36,-3421.0361279634594,4926.723887625525,-5096.764249860201,-5874.394622486354,1211.4389266630765,-5096.764249860201,-40.50969992423534,168.34760919012112,1501878.497098904,-11460.921569541557,-3502.8522260239465,-10237.593443360485,375.6139741577772,3499.101197584564,-15363.79580063342,2683.9507868965907,2276.2256527061413,-15363.79580063342
2025-01-28 12:38:24,-4306.542086663659,3206.4956341608877,-5752.727988644439,-5342.627357315794,-533.1528082633304,-5752.727988644439,-47.13048971772209,-174.30119241376806,1502352.4553901833,-11982.452593897875,-3547.843969442884,4467.118665040565,11410.397202369919,4704.135013994364,-4878.059616111403,11600.37128037083,-4213.957368470485,-4878.059616111403
2025-01-28 12:43:12,-4901.996983098173,1270.3150793354262,-6020.415427580743,-4526.444282780239,-2270.3693483608895,-6020.415427580743,-50.08533181298726,-153.36261900754369,1501342.2089406773,252.90773924948735,-2430.239248480914,12915.883241218995,6144.842632513973,5800.932306292274,10068.771445895693,8444.292008153114,322.2407199410395,10068.771445895693
2025-01-28 12:48:00,-5167.121955889183,-751.4503726213202,-5881.546907835018,-3477.7872398105555,-3894.717304780367,-5881.546907835018,-48.55682284407733,-131.7632551903447,1498727.3073071884,13963.708831084685,-913.1969024472932,7745.733026739822,-4238.318255228037,-3375.3687590893005,15048.555317074277,-5416.475485739738,135.0896177200293,15048.555317074277
2025-01-28 12:52:48,-5083.736378923466,-2722.5077661937667,-5345.143286400826,-2259.813244725821,-5305.626089948009,-5345.143286400826,-42.982112260502106,-113.07049945071218,1494778.446375004,19949.738079076626,-21.6652635200201,-6277.456911973147,-7149.3046658046605,-16729.965352857304,10314.779986833488,-16048.654502194859,-8570.00505142691,10314.779986833488
2025-01-28 12:57:36,-4657.053113662021,-4509.688222324726,-4447.029075884672,-943.1293565824831,-6413.730473195439,-4447.029075884672,-34.59509517810889,-98.3653063721561,1490116.4431096418,15135.891618989408,-445.1703966984472,-20977.679853186884,-4202.979387264982,-25522.34173120594,549.072520222262,-18888.654051550897,-17671.267959460645,549.072520222262
2025-01-28 13:02:24,-3915.4650481185686,-5991.895452901751,-3247.580647675128,398.2354769038452,-7146.683578169527,-3247.580647675128,-24.52205686492079,-86.81059901187801,1485579.6450418606,7564.267324180416,-1685.5579423092602,-26578.500518132634,-162.91283287694068,-27372.122721264546,-4149.252060533219,-16356.040280885009,-21948.566905134143,-4149.252060533219
2025-01-28 13:07:12,-2908.781334849482,-7068.389076636663,-1827.7968938954468,1690.9349123788124,-7454.117795875222,-1827.7968938954468,-13.519402012830419,-77.21899872082258,1482029.7858284228,8342.617664887552,-2698.6081629951277,-22749.789161131306,2693.079262250495,-24070.32254324179,2793.12712695784,-11655.430772414282,-21231.67531679768,2793.12712695784
2025-01-28 13:12:00,-1704.9626732071586,-7665.810897949157,-283.8836334362625,2866.2799108284526,-7311.360606133922,-283.8836334362625,-2.081591771900834,-68.59328166859976,1480144.2772344612,8108.2347920820275,-3489.85136846098,-19774.81824367111,4071.1640150857343,-19946.40615950672,7384.610718918743,-7760.956433441068,-18820.229816768082,7384.610718918743
2025-01-28 13:16:48,-385.52837780123923,-7743.385828595743,1279.3164643216112,3863.8570547344284,-6721.552267234588,1279.3164643216112,9.42020059186215,-60.10773216856235,1480250.1152659534,7525.4619035649075,-3976.468330263085,-17770.506715758238,4675.560624856193,-16112.525057690767,10332.543505206362,-4782.0481227001455,-16081.242074031425,10332.543505206362
2025-01-28 13:21:36,960.0544269006944,-7295.836363068387,2755.5788531766366,4634.564323338984,-5715.9204221294085,2755.5788531766366,20.63181708825032,-50.96427995278212,1482245.9995133374,7129.30309186342,-4191.96398702399,-16664.295815027966,4983.879887848909,-12802.713505234446,12543.912779563667,-2449.210722131771,-13518.502086851637,12543.912779563667
2025-01-28 13:26:24,2240.5715002904553,-6353.743274609633,4044.6728594849296,5142.873281843771,-4352.133804751232,4044.6728594849296,31.116228976361032,-40.23942126753668,1485635.083873828,7557.385683931488,-4047.0411756359813,-16216.28977995432,5002.119575505214,-9534.694336415854,14850.221498142833,-498.4651599438257,-10755.609179440055,14850.221498142833
2025-01-28 13:31:12,3369.360319588203,-4981.3322483559205,5059.27462591679,5368.1998236209765,-2710.846839163344,5059.27462591679,40.22666793762828,-26.79297560310429,1489658.4029398607,9923.484323230416,-3251.7235117973282,-15232.708540697824,3195.052547239584,-5256.2573693372315,17414.018895249013,231.93563854122795,-6146.772175045093,17414.018895249013
2025-01-28 13:36:00,4270.222009805428,-3271.910432619856,5730.89605225086,5305.357937491642,-890.7137852350754,5730.89605225086,46.966479614983086,-9.530477134460291,1493490.2420033664,14818.100493366552,-1725.369638455355,-9818.138924688641,-4359.857033027452,-1017.5429221170666,17288.872363995008,-4328.644115451877,1143.0603958467455,17288.872363995008
2025-01-28 13:40:48,4882.529720374855,-1341.3652618277997,6014.431090724,4964.1586714977875,997.740407207931,6014.431090724,50.060086579764224,11.36439841668494,1496441.4137935136,18226.106908310037,-194.18127537238828,3625.743590600998,-15944.072982271464,-3402.645026537886,8920.943870746773,-15770.968896689637,4131.343183550589,8920.943870746773
2025-01-28 13:45:36,5165.218495191194,679.7556932725067,5891.064696412817,4368.276050685585,2838.963587404445,5891.064696412817,48.66666488192816,33.02003303389825,1498117.7638220964,15484.006027229805,731.4394227285987,18035.593594728995,-20134.7574638132,-12213.335942932928,-3316.3307454355636,-23432.249851153498,-2345.996567481645,-3316.3307454355636
2025-01-28 13:50:24,5099.444515445537,2655.0309845872407,5369.419101089299,3553.524131069684,4519.512157869621,5369.419101089299,43.199029367885686,51.82334823976921,1498495.9301560186,10476.679035124702,1119.847912532743,25915.00340570227,-16989.66133579579,-19796.32809814462,-10102.428717658004,-23634.678132632238,-11042.879517648465,-10102.428717658004
2025-01-28 13:55:12,4689.7860551512,4451.268919125428,4484.910965180283,2565.681982629413,5935.079123101353,4484.910965180283,34.89217072433041,66.62160052584221,1497900.402691354,6603.301856257356,953.4424716593053,29192.89989568874,-11875.391906385623,-25068.003542818686,-11283.098764005386,-20763.57524070559,-18393.033403345333,-11283.098764005386
2025-01-28 14:00:00,3963.92532168229,5947.387837733277,3297.3699167571294,1457.9840524953534,6997.028551532498,3297.3699167571294,24.884656234513436,78.22959393178385,1496889.964068478,3733.5220953669955,434.0545573401593,30719.929779037073,-6430.167334842163,-28731.274033778365,-9539.838398325826,-16688.057084972148,-24255.760352684247,-9539.838398325826
2025-01-28 14:04:48,2970.81560081467,7042.531348954348,1887.0462702121893,288.3800647299104,7638.051457886032,1887.0462702121893,13.940688572652334,87.83778411569452,1496083.6907286672,1117.8167041821885,-72.59709402460406,31501.044297541546,-1091.1061198893535,-30823.282169451963,-6504.255537366991,-11920.742832104641,-28445.757620308537,-6504.255537366991
2025-01-28 14:09:36,1777.4193456982812,7662.881909570483,349.23079352644726,-883.3293340572748,7816.56625239491,349.23079352644726,2.555858377204197,96.44749006276116,1495972.841014265,9251.227207385631,-199.58576678960367,29836.634275289576,3591.7488600077504,-30005.95196276005,7911.508777314952,-6633.765310599441,-29483.06244047111,7911.508777314952
2025-01-28 14:14:24,464.2051731888674,7766.67829484419,-1212.1792035880737,-1998.3617025483898,7519.529818027657,-1212.1792035880737,-8.902787067905265,104.88270377659028,1496770.4312209915,18917.157618293797,-579.2931750558821,23755.9068054459,5835.918205426558,-19704.214759202885,22365.677287080987,-647.3294645229407,-20540.08240347585,22365.677287080987
